solicitante_id,nombre_completo,tipo_documento,numero_documento,fecha_nacimiento,numero_celular,correo_electronico,nivel_estudio,profesion,estado_civil,personas_a_cargo,id,direccion_residencia,tipo_vivienda,barrio,departamento,estrato,ciudad_gestion,id_economic_activity,actividad_economica,empresa_labora,fecha_vinculacion,direccion_empresa,telefono_empresa,tipo_contrato,cargo_actual,id_financial_info,ingresos,valor_inmueble,cuota_inicial,porcentaje_financiar,total_egresos,total_activos,total_pasivos,id_product,tipo_credito,plazo_meses,segundo_titular,observacion,estado,informacion_producto,id_solicitud,asesor_id,banco,created_at
138,Fernando prueba,CC,111222333,2025-03-22,3124124112,foliverosocampo0322@gmail.com,profesional,Ingeniero,casado,2,100.0,cl 5a 3 57,familiar,camino real,atlantico,2.0,Barranquilla,96.0,ingeniero,industria sa,2025-01-01,cl 4 11,4234232,indefinido,ingeniero,92.0,7467674647.0,7467676.0,746767.0,74767647.0,47676.0,7646746.0,746767.0,88.0,hipotecario,84.0,True,esta es una prueba,Radicado,"{'ciudad': 'MANATI', 'plazo_anios': '10 años', 'edad_cliente': '25', 'tipo_vivienda': 'Usada', 'actividad_economica': 'Empleado'}",74.0,6.0,Bancolombia,2025-03-31T22:53:49.957816+00:00
144,SDGSDG,CC,23432,2025-03-07,24242,foliverosocampo0322@gmail.com,bachillerato,241442,casado,2,106.0,24234,propia,23423,234234,2.0,124124,102.0,4214,324234,2025-03-13,123123,qwa2342,servicios,24234,98.0,324234.0,2323423.0,234234.0,234234.0,23423423.0,234234.0,234234.0,94.0,hipotecario,24.0,True,sdafsf,Radicado,"{'ciudad': 'manati', 'plazo_anios': '5 años', 'edad_cliente': '32', 'tipo_vivienda': 'Nueva', 'actividad_economica': 'Empleado'}",80.0,6.0,Bancolombia,2025-03-31T23:26:28.242652+00:00
19,María Fernanda López,CC,9876543210,1990-12-25,3109876543,maria.lopez@email.com,Primaria,Arquitecta,Soltero,0,7.0,Avenida 45 # 10-20,Propia,Chapinero,Antioquia,5.0,Medellín,4.0,Independiente,Arquitectura Moderna,2018-07-01,Calle 50 # 20-30,6049876543,Indefinido,Gerente de Proyectos,3.0,8000000.0,450000000.0,90000000.0,75.0,4000000.0,150000000.0,30000000.0,3.0,Hipotecario,120.0,True,Cliente solicita revisión de tasas,Radicado,,2.0,1.0,Banco Innovación,2025-02-11T02:16:40.249674+00:00
23,Pepito,CC,14324,2025-02-22,555555,jsanchez@gmail.com,Primaria,Ingeniero en sistemas y computación,Soltero,5,10.0,Crra38 18A-42,Propia,Las margaritas,Atlantico,3.0,Barranquilla,7.0,Ingeniero,Zacks Company,2025-02-22,Itagui,3244234,Indefinido,Product Data Analyst,6.0,2800000.0,423143.0,99999.0,12.0,4234214.0,32421.0,99999.0,8.0,Hipotecario,23.0,True,nadaaa,Pendiente,,7.0,1.0,Bancolombia,2025-02-26T05:11:08.315582+00:00
25,Fernando Oliveros,CC,12345678,2025-02-06,1233424,foliverosocampo0322@gmail.com,Primaria,ingeniero,Soltero,0,12.0,cl 4 # 3,Propia,Camino,Atlantico,2.0,Barranquilla,9.0,contratista,no aplica,2025-02-20,cl 4  # 3,3245345646,Indefinido,ingeniero,8.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,7.0,Hipotecario,2.0,True,Esto es una prueba. Esto es una observación añadida por el banco. El estado se cambió a Aprobado,Aprobado,,6.0,1.0,Bancolombia,2025-02-24T19:19:45.749149+00:00
27,Billie Eilish,CC,112345678,2025-03-05,3113109966,dkakjda@gmail.com,Primaria,Ingeniero,Soltero,2,14.0,CL 18 4294,Propia,Margaritas,Atlántico,3.0,Medellin,11.0,sio,gal,2025-03-06,Cl48384,3432432423,Indefinido,Prpodu,10.0,3244235.0,4233423423.0,5435435.0,324.0,252543253.0,35353435.0,4234242.0,10.0,Hipotecario,5.0,True,Hola como estas,Estudio de credito,,9.0,10.0,Davivienda,2025-03-02T17:05:10.358327+00:00
60,Billie eilish,TI,4534444,1990-12-25,3109876543,maria.lopez@email.com,Maestría,Arquitecta,Soltera,0,35.0,Avenida 45 # 10-20,Arrendada,Chapinero,Antioquia,5.0,Medellín,31.0,Independiente,Arquitectura Moderna,2018-07-01,Calle 50 # 20-30,6049876543,Prestación de servicios,Gerente de Proyectos,29.0,8000000.0,450000000.0,90000000.0,75.0,4000000.0,150000000.0,30000000.0,27.0,Consumo,120.0,False,Cliente solicita revisión de tasas,Rechazado,,13.0,10.0,Banco Innovación,2025-03-15T00:57:26.669518+00:00
67,Ariana Pequena,TI,4291144,1990-12-25,3109876543,maria.lopez@email.com,Maestría,Arquitecta,Soltera,44,42.0,Avenida 45 # 10-20,Arrendada,Chapinero,Antioquia,5.0,Medellín,38.0,Independiente,Arquitectura Moderna,2018-07-01,Calle 50 # 20-30,6049876543,Prestación de servicios,Gerente de Proyectos,36.0,8000000.0,450000000.0,90000000.0,75.0,4000000.0,150000000.0,30000000.0,34.0,Consumo,120.0,True,Cliente solicita revisión de tasas,Radicado,,20.0,10.0,Banco Innovación,2025-03-15T02:02:50.638642+00:00
29,Fernando Antonio Oliveros Ocampo,CC,15533996,2025-03-22,3824488997,fernando@gmail.com,Primaria,Docente,Soltero,2,16.0,cl 4 # 3,Propia,Vista hermosa Soledad,Atlantico,1.0,Barranquilla,13.0,contratista,Zacks Company,2025-03-03,cl 4  # 3,3245345646,Indefinido,docente,11.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,11.0,Hipotecario,6.0,True,El se quiere ir a beber birra con sus compas pauuuuuuu,Aprobado,,10.0,6.0,Bancolombia,2025-03-05T23:03:06.518089+00:00
137,Jean Trujillo,CC,1127555555,2025-03-26,31131096666,jeantpdev@gmail.com,primaria,Ingeniero,soltero,1,99.0,Altos de soledad,propia,Altos,Soledad,3.0,Soledad,95.0,Si,Galgo,2025-03-05,Itagui,3005555555,indefinido,Product Data Analyst,91.0,28000000.0,16000000.0,6000000.0,62.0,90000000.0,800000000.0,500000.0,87.0,vehiculo,6.0,False,sdffsd,Pendiente,"{'ciudad': 'MANATI', 'edad_cliente': '25', 'cuota_inicial': 'Sí', 'tipo_vehiculo': 'Nuevo', 'costo_vehiculo': '16000000', 'actividad_economica': 'Empleado'}",73.0,10.0,bancolombia,2025-03-29T14:37:53.01485+00:00
110,An Yujin,CE,3125467879,2025-03-06,222222555,FER@GMAIL.COM,bachillerato,DOCTOR,union_libre,3,76.0,CL 57,propia,CAMINO,ATLANTICO,2.0,MANATI,72.0,PROFESOR,PROFE TEACHER,2025-03-13,CL 35,89899890889098,fijo,PROFE,68.0,23456789.0,4356789.0,32456789.0,3456789.0,456789.0,3456789.0,780945678.0,64.0,hipotecario,2.0,False,HOLAAAA,Aprobado,,50.0,6.0,bbva,2025-03-17T16:00:55.041457+00:00
135,esta es una prueba,CC,21412412,2025-03-12,21412421,fer@gmail.com,primaria,hoa,soltero,2,98.0,cl 423,propia,camino,Atlantico,2.0,barranquilla,94.0,docente,docente sa,2025-03-04,cl 33,2142343,obra_labor,docente,90.0,213213.0,214234.0,234234.0,234234.0,234234.0,324234.0,324234.0,86.0,hipotecario,39.0,True,ninguna,Radicado,"{'ciudad': 'BARRANQUILLA', 'plazo_anios': '7 años', 'edad_cliente': '30', 'tipo_vivienda': 'Nueva', 'actividad_economica': 'Empleado'}",72.0,6.0,bancolombia,2025-03-27T00:48:20.708463+00:00
86,Santiago Terrero,CC,22223333,2025-03-15,311310666,dkaka@gmail.com,Alto,Ingeniero,Soltero,4,59.0,sdfsdaf,Propia,Vista hermosa,Atlantico,3.0,Soledad,55.0,TI,Galgo,2025-03-15,Crra 18 VLsk,33333,Aprendizaje,Product,53.0,4445455.0,43343455.0,55443435.0,5.0,5000000.0,5555555.0,3532530.0,51.0,hipotecario,2.0,False,ddsfsagsdg,Rechazado,,37.0,10.0,Bancolombia,2025-03-15T07:17:21.655357+00:00
132,Prueba ,CC,1221412,2025-03-06,3423423,fer@gmail.com,primaria,inge,casado,3,95.0,cl 5a # 3 51,familiar,camino real,atlantico,2.0,barranquilla,91.0,profesor,i.e. el paso,2025-03-03,cl 4 _ 56,423432432,indefinido,profesor,87.0,234234234.0,234234234.0,23423423.0,234234.0,3242342342.0,2342342.0,23423423.0,83.0,vehiculo,48.0,True,holaaaaa,Radicado,"{'ciudad': 'Manati', 'plazo_meses': '48 meses', 'edad_cliente': '23', 'cuota_inicial': 'Sí', 'tipo_vehiculo': 'Nuevo', 'costo_vehiculo': '121312312', 'ingresos_mensuales': '12123123', 'actividad_economica': 'Empleado'}",69.0,6.0,bancolombia,2025-03-27T00:07:18.301443+00:00
139,Fernando nuevo,CC,1231241,2025-03-11,223423423,foliverosocampo0322@gmail.com,profesional,inge,union_libre,2,101.0,cl 5,familiar,camino,atlantico,2.0,barranquilla,97.0,profesor,ejemplo sa,2025-03-12,cl 43,42423423,indefinido,doctor,93.0,23432423.0,2343223.0,23423423.0,3223.0,234324.0,3232.0,234234.0,89.0,vehiculo,36.0,True,holaaaaa,Radicado,"{'ciudad': 'MANATII', 'plazo_meses': '36 meses', 'edad_cliente': '25', 'tipo_vehiculo': 'Nuevo', 'costo_vehiculo': '4234323344', 'actividad_economica': 'Empleado'}",75.0,6.0,Bancolombia,2025-03-31T23:04:41.919392+00:00
141,3224323,CC,234234,2025-03-14,234234234,foliverosocampo0322@gmail.com,tecnico,tttt,casado,2,103.0,tttt,propia,ttttt,ttt,2.0,rrrrr,99.0,rrrr,ssssss,2025-03-26,rrrr,rrr324,servicios,sssss,95.0,333232423.0,324234.0,324234.0,234234.0,324233.0,324234.0,42424.0,91.0,consumo,2.0,True,3434dfsfsd,Radicado,{},77.0,6.0,Bancolombia,2025-03-31T23:13:02.894765+00:00
143,lmkkllkj,CC,65565656,2025-03-14,65666565,foliverosocampo0322@gmail.com,primaria,324234,casado,3,105.0,234234,propia,23423,2342,2.0,3,101.0,23423,sdfsdf,2025-03-06,23423,23423,fijo,dsfsdf,97.0,234342.0,234234.0,4434.0,234234.0,432423.0,23423.0,2423.0,93.0,consumo,36.0,True,2332dssfsdf,Radicado,{},79.0,6.0,Davivienda,2025-03-31T23:19:30.865595+00:00
145,dfdfdf,TI,34234,2025-03-08,3242342,foliverosocampo0322@gmail.com,tecnico,23,soltero,23,107.0,qwer,propia,werr,werwr,2.0,sdsfdsf,103.0,3223,23423,2025-03-14,32423,dfsfsfs,indefinido,324234,99.0,24234234.0,234234234.0,2424234234.0,234234234.0,23423422.0,4242342.0,234234.0,95.0,consumo,22.0,True,sdfsdfsf,Radicado,{},81.0,6.0,Davivienda,2025-03-31T23:34:23.024876+00:00
108,Jean Carlos,CC,112750039,2025-06-24,3113109661,00zacks00@gmail.com,primaria,Ingeniero,soltero,2,75.0,Crra 382,propia,Vista hermosa,Atlantico,3.0,Soledad,71.0,TI,Galgo,2025-02-26,Itagui,3111309394,indefinido,Product Data Analyst,67.0,2800000.0,5000000.0,500000.0,5.0,900000.0,500000000.0,1000000.0,63.0,hipotecario,2.0,False,Hola,Pendiente,,49.0,10.0,davivienda,2025-03-17T02:32:39.229103+00:00
107,Fernando Antonio de Jesus,CC,1234444,2025-03-04,2134567,FERNANDO@GMAIL.COM,tecnologo,INGENIERO PROFESOR,soltero,2,74.0,CL 53,propia,CAMINO,ATLANTICO,1.0,MANATI,70.0,INGENIERO,PRUEBA,2025-03-03,CL 56,345768678,indefinido,INGE,66.0,3234234342.0,1221332213.0,123232213.0,1231231.0,123131.0,1231232.0,123123.0,62.0,hipotecario,1.0,False,HOLAAAA PRUEBAAA,Aprobado,,48.0,6.0,bancolombia,2025-03-16T22:13:24.00449+00:00
62,Alfredo,TI,453224444,1990-12-25,3109876543,maria.lopez@email.com,Maestría,Arquitecta,Soltera,56,37.0,Avenida 45 # 10-20,Arrendada,Chapinero,Antioquia,5.0,Medellín,33.0,Independiente,Arquitectura Moderna,2018-07-01,Calle 50 # 20-30,6049876543,Prestación de servicios,Gerente de Proyectos,31.0,8000000.0,450000000.0,90000000.0,75.0,4000000.0,150000000.0,30000000.0,29.0,Consumo,120.0,True,Cliente solicita revisión de tasas,Aprobado,,15.0,10.0,Banco Innovación,2025-03-15T01:03:59.055628+00:00
114,Fernando Oliveros|,CC,21312312312,2025-03-22,21334212412,foliverosocampo0322@gmail.com,primaria,profe,soltero,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Jean trujilloc,CC,3242342423,2025-03-08,23234234,jeantpdev@gmail.com,primaria,INGENIERO,casado,3,81.0,LA CALLE DE SU CASA,propia,LA CALLE DE SU CASA,LA CALLE DE SU CASA,2.0,LA CALLE DE SU CASA,77.0,INGENIERO,LA CALLE DE SU CASA,2025-03-13,LA CALLE DE SU CASA,342424234,fijo,LA CALLE DE SU CASA,73.0,234234234.0,2423423423.0,3242342342.0,23423423423.0,324234234.0,23423423.0,234234234.0,69.0,hipotecario,2.0,False,HOLA JEAN,Radicado,"{'PRUEBA': '', 'ciudad': 'BARRANQUILLA', 'plazo_anios': '7 años', 'edad_cliente': '30', 'tipo_vivienda': 'Nueva', 'actividad_economica': 'Empleado'}",55.0,6.0,bancolombia,2025-03-21T16:00:44.213146+00:00
118,Josefo Gutierrez,CC,1127590011,1990-12-25,3109876543,jeantpdev@gmail.com,Maestría,Arquitecta,Soltera,0,82.0,Avenida 45 # 10-20,Arrendada,Chapinero,Antioquia,5.0,Medellín,78.0,Independiente,Arquitectura Moderna,2018-07-01,Calle 50 # 20-30,6049876543,Prestación de servicios,Gerente de Proyectos,74.0,8000000.0,450000000.0,90000000.0,75.0,4000000.0,150000000.0,30000000.0,70.0,Consumo,120.0,False,Cliente solicita revisión de tasas,Radicado,,56.0,10.0,BBVA,2025-03-22T01:51:34.162033+00:00
120,Josefo Eilish,CC,1127533,1990-12-25,3109876543,jeantpdev@gmail.com,Maestría,Arquitecta,Soltera,0,84.0,Avenida 45 # 10-20,Arrendada,Chapinero,Antioquia,5.0,Medellín,80.0,Independiente,Arquitectura Moderna,2018-07-01,Calle 50 # 20-30,6049876543,Prestación de servicios,Gerente de Proyectos,76.0,8000000.0,450000000.0,90000000.0,75.0,4000000.0,150000000.0,30000000.0,72.0,Consumo,120.0,False,Cliente solicita revisión de tasas,Radicado,,58.0,10.0,BBVA,2025-03-22T01:55:42.127045+00:00
123,Josefo Eilish,CC,1127533,1990-12-25,3109876543,jeantpdev@gmail.com,Maestría,Arquitecta,Soltera,0,87.0,Avenida 45 # 10-20,Arrendada,Chapinero,Antioquia,5.0,Medellín,83.0,Independiente,Arquitectura Moderna,2018-07-01,Calle 50 # 20-30,6049876543,Prestación de servicios,Gerente de Proyectos,79.0,8000000.0,450000000.0,90000000.0,75.0,4000000.0,150000000.0,30000000.0,75.0,Consumo,120.0,False,Cliente solicita revisión de tasas,Radicado,,61.0,10.0,BBVA,2025-03-22T01:59:25.801865+00:00
125,Josefo Eilish,CC,1127533,1990-12-25,3109876543,jeantpdev@gmail.com,Maestría,Arquitecta,Soltera,0,89.0,Avenida 45 # 10-20,Arrendada,Chapinero,Antioquia,5.0,Medellín,85.0,Independiente,Arquitectura Moderna,2018-07-01,Calle 50 # 20-30,6049876543,Prestación de servicios,Gerente de Proyectos,81.0,8000000.0,450000000.0,90000000.0,75.0,4000000.0,150000000.0,30000000.0,77.0,Consumo,120.0,False,Cliente solicita revisión de tasas,Radicado,,63.0,10.0,BBVA,2025-03-22T02:03:08.369914+00:00
127,Josefo Eilish,CC,1127533,1990-12-25,3109876543,jeantpdev@gmail.com,Maestría,Arquitecta,Soltera,0,91.0,Avenida 45 # 10-20,Arrendada,Chapinero,Antioquia,5.0,Medellín,87.0,Independiente,Arquitectura Moderna,2018-07-01,Calle 50 # 20-30,6049876543,Prestación de servicios,Gerente de Proyectos,83.0,8000000.0,450000000.0,90000000.0,75.0,4000000.0,150000000.0,30000000.0,79.0,Consumo,120.0,False,Cliente solicita revisión de tasas,Radicado,,65.0,10.0,BBVA,2025-03-22T02:05:53.645835+00:00
129,Alfredo Juancho,CC,11275332222,1990-12-25,3109876543,jeantpdev@gmail.com,Maestría,Arquitecta,Soltera,0,93.0,Avenida 45 # 10-20,Arrendada,Chapinero,Antioquia,5.0,Medellín,89.0,Independiente,Arquitectura Moderna,2018-07-01,Calle 50 # 20-30,6049876543,Prestación de servicios,Gerente de Proyectos,85.0,8000000.0,450000000.0,90000000.0,75.0,4000000.0,150000000.0,30000000.0,81.0,Consumo,120.0,False,Cliente solicita revisión de tasas,Radicado,,67.0,10.0,BBVA,2025-03-22T02:09:01.719268+00:00
130,Alfredo,CC,11276666,1990-12-25,3109876543,jeantpdev@gmail.com,Maestría,Arquitecta,Soltera,0,94.0,Avenida 45 # 10-20,Arrendada,Chapinero,Antioquia,5.0,Medellín,90.0,Independiente,Arquitectura Moderna,2018-07-01,Calle 50 # 20-30,6049876543,Prestación de servicios,Gerente de Proyectos,86.0,8000000.0,450000000.0,90000000.0,75.0,4000000.0,150000000.0,30000000.0,82.0,Consumo,120.0,False,Cliente solicita revisión de tasas,Radicado,,68.0,10.0,BBVA,2025-03-22T02:09:16.463494+00:00
